2,-47.7361575194467
2.01,-47.9682855539589
2.02,-48.2004244727156
2.03,-48.4325792501348
2.04,-48.6647550918549
2.05,-48.8969574467583
2.06,-49.129192019729
2.07,-49.3614647851898
2.08,-49.5937820014693
2.09,-49.8261502260525
2.1,-50.0585763317699
2.11,-50.2910675239821
2.12,-50.5236313588237
2.13,-50.7562757625668
2.14,-50.9890090521709
2.15,-51.2218399570867
2.16,-51.4547776423799
2.17,-51.6878317332454
2.18,-51.921012340977
2.19,-52.1543300904584
2.2,-52.3877961492346
2.21,-52.6214222582168
2.22,-52.8552207640627
2.23,-53.0892046532594
2.24,-53.3233875879158
2.25,-53.5577839432433
2.26,-53.7924088466674
2.27,-54.027278218465
2.28,-54.2624088137584
2.29,-54.4978182656168
2.3,-54.7335251289094
2.31,-54.9695489244204
2.32,-55.2059101825606
2.33,-55.4426304857867
2.34,-55.6797325085545
2.35,-55.9172400532627
2.36,-56.1551780801729
2.37,-56.3935727286879
2.38,-56.6324513265889
2.39,-56.8718423828367
2.4,-57.1117755582438
2.41,-57.3522816066626
2.42,-57.5933922771667
2.43,-57.8351401648988
2.44,-58.0775584945911
2.45,-58.320680815983
2.46,-58.564540584073
2.47,-58.8091705888676
2.48,-59.0546021883394
2.49,-59.3008642837632
2.5,-59.5479819571822
2.51,-59.7959746647274
2.52,-60.0448538444205
2.53,-60.2946197495612
2.54,-60.5452572540443
2.55,-60.7967302872778
2.56,-61.048974434223
2.57,-61.301887066898
2.58,-61.5553141380331
2.59,-61.8090324375585
2.6,-62.0627256481356
2.61,-62.3159518793456
2.62,-62.5680994288201
2.63,-62.8183261952377
2.64,-63.0654762890834
2.65,-63.3079647315457
2.66,-63.543617420636
2.67,-63.769448470771
2.68,-63.9813503891614
2.69,-64.1736645819753
2.7,-64.3385919747196
2.71,-64.4654011242193
2.72,-64.5394072057449
2.73,-64.5407601726991
2.74,-64.4432581574412
2.75,-64.2138086304467
2.76,-63.8139486734397
2.77,-63.2060275618371
2.78,-62.3675402255233
2.79,-61.3151395797372
2.8,-60.1308907590505
2.81,-58.96849611764
2.82,-58.0151753377688
2.83,-57.4182863259158
2.84,-57.2284711938344
2.85,-57.4003871668546
2.86,-57.8368838961427
2.87,-58.4354782505164
2.88,-59.11400513443
2.89,-59.816602483844
2.9,-60.5096898484489
2.91,-61.1753797978329
2.92,-61.805697782046
2.93,-62.3984554990505
2.94,-62.954598954044
2.95,-63.4766117716963
2.96,-63.9675998950049
2.97,-64.4307914106254
2.98,-64.8692797992601
2.99,-65.285905628691
3,-65.6832145336237
3.01,-66.0634554979968
3.02,-66.4285990050076
3.03,-66.7803636963668
3.04,-67.1202454112976
3.05,-67.4495454516144
3.06,-67.7693965878383
3.07,-68.0807862371586
3.08,-68.384576729741
3.09,-68.6815228223169
3.1,-68.9722867250035
3.11,-69.2574509408374
3.12,-69.537529212862
3.13,-69.8129758506981
3.14,-70.0841936783218
3.15,-70.3515408131785
3.16,-70.6153364567279
3.17,-70.8758658493886
3.18,-71.1333845190722
3.19,-71.3881219320437
3.2,-71.640284637458
3.21,-71.8900589822646
3.22,-72.1376134608732
3.23,-72.3831007536838
3.24,-72.6266594999966
3.25,-72.868415843644
3.26,-73.1084847837069
3.27,-73.3469713576761
3.28,-73.5839716802437
3.29,-73.8195738574097
3.3,-74.053858792655
3.31,-74.2869008994684
3.32,-74.518768732437
3.33,-74.7495255473644
3.34,-74.9792297993971
3.35,-75.2079355868892
3.36,-75.4356930476713
3.37,-75.6625487134855
3.38,-75.8885458275758
3.39,-76.113724629765
3.4,-76.3381226127861
3.41,-76.5617747531499
3.42,-76.7847137194168
3.43,-77.0069700603803
3.44,-77.2285723753614
3.45,-77.4495474685454
3.46,-77.6699204890595
3.47,-77.8897150582896
3.48,-78.1089533857579
3.49,-78.3276563747316
3.5,-78.545843718599
3.51,-78.7635339889308
3.52,-78.9807447160471
3.53,-79.1974924628139
3.54,-79.4137928923208
3.55,-79.6296608300172
3.56,-79.8451103208249
3.57,-80.0601546816926
3.58,-80.2748065500051
3.59,-80.4890779282232
3.6,-80.7029802250885
3.61,-80.9165242936959
3.62,-81.1297204667051
3.63,-81.3425785889389
3.64,-81.555108047588
3.65,-81.7673178002256
3.66,-81.979216400812
3.67,-82.190812023855
3.68,-82.402112486876
3.69,-82.6131252713177
3.7,-82.8238575420177
3.71,-83.0343161653595
3.72,-83.2445077262059
3.73,-83.4544385437066
3.74,-83.6641146860667
3.75,-83.8735419843543
3.76,-84.0827260454191
3.77,-84.2916722639872
3.78,-84.5003858339927
3.79,-84.7088717592015
3.8,-84.917134863178
3.81,-85.1251797986403
3.82,-85.3330110562493
3.83,-85.5406329728681
3.84,-85.7480497393311
3.85,-85.9552654077544
3.86,-86.1622838984187
3.87,-86.3691090062549
3.88,-86.5757444069569
3.89,-86.7821936627472
3.9,-86.9884602278178
3.91,-87.1945474534675
3.92,-87.400458592954
3.93,-87.6061968060814
3.94,-87.8117651635364
3.95,-88.0171666509921
3.96,-88.2224041729912
3.97,-88.4274805566241
3.98,-88.6323985550134
3.99,-88.8371608506155
4,-89.0417700583534
4.01,-89.2462287285866
4.02,-89.4505393499312
4.03,-89.6547043519365
4.04,-89.858726107628
4.05,-90.0626069359233
4.06,-90.2663491039292
4.07,-90.4699548291256
4.08,-90.6734262814433
4.09,-90.8767655852417
4.1,-91.0799748211909
4.11,-91.2830560280644
4.12,-91.4860112044474
4.13,-91.6888423103638
4.14,-91.8915512688281
4.15,-92.0941399673245
4.16,-92.2966102592185
4.17,-92.4989639651032
